"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/polls/1/vote/",3561,1028,5300,9771,3,73816,238,13.32,3.84,5300,9100,13000,16000,29000,33000,38000,46000,68000,74000,74000,74000
"GET","Open first poll form",9289,5497,1500,6859,2,75889,332,34.74,20.56,1500,4100,6800,10000,32000,32000,33000,43000,76000,76000,76000,76000
"None","Aggregated",12850,6525,2800,7666,2,75889,306,48.05,24.40,2800,5700,9000,12000,32000,32000,34000,43000,76000,76000,76000,76000
